id,source_lon,source_lat,target_lon,target_lat
idf_regional_01,3.306392874334003,48.738657714618675,3.1252591926380995,48.62907703762913
idf_regional_02,2.9848266311881515,48.34366877634484,2.6203873831683744,48.835932557642465
idf_regional_03,3.2409830070024293,48.93880469799374,2.55372532696006,48.66789765276287
idf_regional_04,1.9817523995493898,48.78719687820273,2.9513594579025177,48.490661215757
idf_regional_05,2.457975096702657,48.349858570660196,1.9081241271960343,49.084179247079184
idf_regional_06,2.6777418299110582,48.29962426499215,3.083007431472785,49.0546338421283
idf_regional_07,1.916183552285604,48.45912436324817,3.2759749303788457,48.50857035400472
idf_regional_08,2.4667203841165417,48.751631980438,3.224107017391125,48.86644928755331
idf_regional_09,2.063599706115297,48.450042427654296,3.1827021133088884,48.82057984988951
idf_regional_10,2.3551029049,48.8420709005,2.3573756049,48.8489962005
